,Hydride Length,Material Orientation,Hydride Volume Fraction,Hydride Orientation,Hydride Spacing,Strain,Gumbel Mu,Gumbel Beta,Known Crack Strain
67,1.3333333333333337e-05,60,10,30,2.5e-06,2.0,605128380.7686298,10147331.495418316,1.025
68,1.3333333333333337e-05,60,10,30,2.5e-06,2.25,607737470.2618215,10185365.707666233,1.025
69,1.3333333333333337e-05,60,10,30,2.5e-06,2.5,612411527.8084804,11899559.478511414,1.025
70,1.3333333333333337e-05,60,10,30,2.5e-06,2.75,616931206.6692908,17861496.27444838,1.025
71,1.3333333333333337e-05,60,10,30,2.5e-06,3.0,623671032.3465773,22859767.99487854,1.025
72,1.3333333333333337e-05,60,10,30,2.5e-06,3.25,629765894.5912778,23664327.939454302,1.025
73,1.3333333333333337e-05,60,10,30,2.5e-06,3.5,637595487.3924088,25444876.91500046,1.025
74,1.3333333333333337e-05,60,10,30,2.5e-06,3.75,646194927.963943,27932493.393098295,1.025
75,1.3333333333333337e-05,60,10,30,2.5e-06,4.0,652500870.7403089,29411067.608648945,1.025
76,1.3333333333333337e-05,60,10,30,2.5e-06,4.25,659277439.97019,30894634.865557678,1.025
77,1.3333333333333337e-05,60,10,30,2.5e-06,4.5,663088600.2268035,32823941.028492413,1.025
78,1.3333333333333337e-05,0,10,90,2.5e-06,0.25,165632292.35098445,29416594.41369041,0.77875
79,1.3333333333333337e-05,0,10,90,2.5e-06,0.5,331206464.8633694,58718244.464659825,0.77875
80,1.3333333333333337e-05,0,10,90,2.5e-06,0.75,487734235.32084906,71187201.6297603,0.77875
81,1.3333333333333337e-05,0,10,90,2.5e-06,1.0,586081764.2807957,59282850.30867551,0.77875
82,1.3333333333333337e-05,0,10,90,2.5e-06,1.25,644936979.6044419,59651001.63016498,0.77875
83,1.3333333333333337e-05,0,10,90,2.5e-06,1.5,685278966.8028326,66106779.34737174,0.77875
84,1.3333333333333337e-05,0,10,90,2.5e-06,1.75,717645048.9633596,70636952.69448178,0.77875
85,1.3333333333333337e-05,0,10,90,2.5e-06,2.0,746872991.258295,74340871.20089187,0.77875
86,1.3333333333333337e-05,0,10,90,2.5e-06,2.25,775152508.5080743,77564947.97624913,0.77875
